id,date,closing_price,circulating_supply,market_cap,market_cap_rank,total_volume_day
binancecoin,2025-03-11,532.57,145887575.79,77810899001.84778,5,1255231824.3279812
binancecoin,2025-03-12,552.63,145887575.79,80603285400.19487,5,1939270866.6758049
binancecoin,2025-03-13,570.72,145887575.79,83256051196.22205,5,1114489699.9605951
binancecoin,2025-03-14,578.72,145887575.79,84399190443.91924,5,1833466480.3402655
binancecoin,2025-03-15,586.97,145887575.79,85730468316.92902,5,845308240.2144562
binancecoin,2025-03-16,618.77,145887575.79,90268773244.99307,5,1045507701.2295176
binancecoin,2025-03-17,602.02,145887575.79,87819548553.47964,5,880757968.1631225
binancecoin,2025-03-18,630.45,145887575.79,91954116491.6022,5,1734384510.2764878
binancecoin,2025-03-19,628.62,145887575.79,91696541649.83894,5,1414095284.5413723
binancecoin,2025-03-20,619.57,145887575.79,90364999173.09402,5,1246749969.9429092
binancecoin,2025-03-21,630.22,145887575.79,91957238403.44215,5,1638896624.4903812
binancecoin,2025-03-22,634.62,145887575.79,92640272190.49388,5,871273243.0492871
binancecoin,2025-03-23,626.14,145887575.79,91351828211.81651,5,510080185.6961636
binancecoin,2025-03-24,622.81,145887575.79,90921593695.69312,5,565395555.6061037
binancecoin,2025-03-25,635.82,145887575.79,92702831421.47064,5,1016201346.675068
binancecoin,2025-03-26,630.31,145887575.79,91918340830.73216,5,1571079283.2041454
binancecoin,2025-03-27,617.89,145887575.79,90121720551.83417,5,753910960.6847237
binancecoin,2025-03-28,637.61,145887575.79,92990457407.1628,5,2057147067.1925929
binancecoin,2025-03-29,619.52,145887575.79,90341522666.9538,5,1035501259.6012462
binancecoin,2025-03-30,604.04,145887575.79,88123077876.96681,5,842143967.4297414
binancecoin,2025-03-31,601.47,145887575.79,87655671715.34909,5,627788963.5666428
binancecoin,2025-04-01,605.5,145887575.79,88218822647.64365,5,971533504.847768
binancecoin,2025-04-02,611.03,145887575.79,89132994185.99815,5,1657684601.5836525
binancecoin,2025-04-03,589.87,145887575.79,86046492690.24649,5,1345311302.234874
binancecoin,2025-04-04,592.46,145887575.79,86580201225.941,5,1425802222.9961252
binancecoin,2025-04-05,597.76,145887575.79,87234618486.61526,5,757406570.5501016
binancecoin,2025-04-06,594.09,145887575.79,86605127909.8959,5,352847322.8179597
binancecoin,2025-04-07,554.44,145887575.79,81006289896.18011,5,768924462.5165749
binancecoin,2025-04-08,554.16,145887575.79,81084351069.20807,5,2333452106.558698
binancecoin,2025-04-09,553.4,145887575.79,80712379865.58907,5,932386850.4083754
binancecoin,2025-04-10,582.26,145887575.79,84960740244.96309,5,1253107793.6282015
binancecoin,2025-04-11,577.29,145887575.79,84164602180.58417,5,1043288449.4822325
binancecoin,2025-04-12,586.13,145887575.79,85506066263.66911,5,590735620.7426767
binancecoin,2025-04-13,596.95,145887575.79,87089917417.03128,5,481290566.3951808
binancecoin,2025-04-14,583.64,145887575.79,85134836117.92719,5,492926645.2392504
binancecoin,2025-04-15,584.51,145887575.79,85271616957.73573,5,530197263.3245282
binancecoin,2025-04-16,579.71,145887575.79,84605501761.13997,5,431419209.1282797
binancecoin,2025-04-17,582.99,145887575.79,85049370657.6528,5,590793445.4085172
binancecoin,2025-04-18,590.14,145887575.79,86081949800.71457,5,523349165.51611936
binancecoin,2025-04-19,591.76,145887575.79,86330575658.80789,5,560183796.0745611
binancecoin,2025-04-20,592.12,145887575.79,86381923216.81198,5,359734262.96070373
binancecoin,2025-04-21,592.9,145887575.79,86496970287.17703,5,427574407.8731377
binancecoin,2025-04-22,596.74,145887575.79,87021203902.98009,5,608725679.9225554
binancecoin,2025-04-23,617.65,145887575.79,90107417553.42468,5,924934985.74546
binancecoin,2025-04-24,606.17,145887575.79,88439293572.85298,5,1089223877.3345106
binancecoin,2025-04-25,602.2,145887575.79,87859769311.30173,5,775858994.180891
binancecoin,2025-04-26,600.19,145887575.79,87558071175.70674,5,941984394.0665632
binancecoin,2025-04-27,607.81,145887575.79,88667686776.55707,5,632964213.2153282
binancecoin,2025-04-28,603.54,145887575.79,88050307610.3246,5,548378967.0336518
